,name,rating,review,url,brand_id,seller_name,variant_hash,color_family,RAM Memory,Storage Capacity,price,Brand,Number Of Cameras,Model Year,Wireless Charging,SIM Type,Battery Capacity,Camera Front (Megapixels),price_value
0,realme 10 Pro Plus,0.0,0.0,https://www.daraz.com.np/products/realme-10-pro-plus-8gb-ram-128gb-rom-i123076745-s1033443679.html?search=1,202391,NS Traders Suppliers,variant: 0,Hyperspace Gold,8GB,128GB,"Rs. 45,447",RealMe,4,2022,No,Nano,4000 - 4999 mAh,16MP,45447.0
1,Samsung Galaxy A53 5,5.0,1.0,https://www.daraz.com.np/products/samsung-galaxy-a53-5g-8gb128gb-ii-65-super-amoled-display-ii-slim-81mm-thickness-i120075942-s1032810459.html?search=1,4198,Electronics Planet,variant: 1,Multicolor,8GB,128GB,"Rs. 56,500",Samsung,2,2021,Not Specified,Not Specified,Not Specified,Not Specified,56500.0
2,Realme Narzo 50,0.0,0.0,https://www.daraz.com.np/products/realme-narzo-50-6gb128gb-ii-mediatek-helio-g96-gamming-chips-ii-50-mp2mp2mp-triple-camera-i123823467-s1033614513.html?search=1,124051041,S&P Gadgets Hub,variant: 2,Blue,4GB,64GB,"Rs. 23,899",narzo by realme,4,2022,No,Not Specified,5000 - 5999 mAh,16MP,23899.0
3,Realme Narzo 50,0.0,0.0,https://www.daraz.com.np/products/realme-narzo-50-6gb128gb-ii-mediatek-helio-g96-gamming-chips-ii-50-mp2mp2mp-triple-camera-i123823467-s1033614513.html?search=1,124051041,S&P Gadgets Hub,variant: 3,Black,4GB,64GB,"Rs. 23,899",narzo by realme,4,2022,No,Not Specified,5000 - 5999 mAh,16MP,23899.0
4,Realme Narzo 50,0.0,0.0,https://www.daraz.com.np/products/realme-narzo-50-6gb128gb-ii-mediatek-helio-g96-gamming-chips-ii-50-mp2mp2mp-triple-camera-i123823467-s1033614513.html?search=1,124051041,S&P Gadgets Hub,variant: 4,Blue,6GB,128GB,"Rs. 27,499",narzo by realme,4,2022,No,Not Specified,5000 - 5999 mAh,16MP,27499.0
5,Realme Narzo 50,0.0,0.0,https://www.daraz.com.np/products/realme-narzo-50-6gb128gb-ii-mediatek-helio-g96-gamming-chips-ii-50-mp2mp2mp-triple-camera-i123823467-s1033614513.html?search=1,124051041,S&P Gadgets Hub,variant: 5,Black,6GB,128GB,"Rs. 27,499",narzo by realme,4,2022,No,Not Specified,5000 - 5999 mAh,16MP,27499.0
6,Samsung M12,0.0,0.0,https://www.daraz.com.np/products/samsung-m12-4gb64gb-i126234356-s1034198303.html?search=1,4198,Shree Communications,variant: 6,Trendy Emerald Green,4GB,64GB,"Rs. 18,999",Samsung,5,2022,No,Not Specified,6000 - 6999 mAh,8,18999.0
7,Realme 9,0.0,0.0,https://www.daraz.com.np/products/realme-9-8gb128gb-qualcomm-sm6225-snapdragon-680-4g-super-amoled-90hz-display-i120498354-s1032879647.html?search=1,202391,Electronics Planet,variant: 7,Black,8GB,128GB,"Rs. 33,320",RealMe,2,2022,Not Specified,Nano,5000 - 5999 mAh,16MP,33320.0
8,Apple iPhone 14 Pro ,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-pro-max-256gb-apple-a16-bionic-chip-super-retina-xdr-display-i122795224-s1033376985.html?search=1,4178,ARUN ELECTRONICS,variant: 8,SPACE GRAY,6GB,256GB,"Rs. 217,790",Apple,4,2022,Yes,Nano,4000 - 4999 mAh,12,217790.0
9,Apple iPhone 14 Pro ,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-pro-max-256gb-apple-a16-bionic-chip-super-retina-xdr-display-i122795224-s1033376985.html?search=1,4178,ARUN ELECTRONICS,variant: 9,DEEP PURPLE,6GB,256GB,"Rs. 217,790",Apple,4,2022,Yes,Nano,4000 - 4999 mAh,12,217790.0
10,Apple iPhone 14 Pro ,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-pro-max-256gb-apple-a16-bionic-chip-super-retina-xdr-display-i122795224-s1033376985.html?search=1,4178,ARUN ELECTRONICS,variant: 10,GOLD,6GB,256GB,"Rs. 217,790",Apple,4,2022,Yes,Nano,4000 - 4999 mAh,12,217790.0
11,Apple iPhone 14 Pro ,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-pro-max-256gb-apple-a16-bionic-chip-super-retina-xdr-display-i122795224-s1033376985.html?search=1,4178,ARUN ELECTRONICS,variant: 11,SILVER,6GB,256GB,"Rs. 217,790",Apple,4,2022,Yes,Nano,4000 - 4999 mAh,12,217790.0
12,Samsung Galaxy A04s,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a04s-4gb64gb-50mp-camera-android-12-exynos-850-i120047583-s1032958102.html?search=1,4198,AR Tech Factory,variant: 12,Dark Green,4GB,64GB,"Rs. 18,799",Samsung,5,2022,No,Nano,5000 - 5999 mAh,8,18799.0
13,Oukitel U23 Smartpho,0.0,0.0,https://www.daraz.com.np/products/oukitel-u23-smartphone-664gb-ram-rom-special-rate-i116974181-s1032021284.html?search=1,37983,BROTHERS' ENTERPRISES,variant: 13,Not Specified,6GB,64GB,"Rs. 14,400",OUKITEL,3,2018,Yes,Not Specified,3000 - 3999 mAh,8,14400.0
14,SAMSUNG GALAXY A14 5,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a14-5g-6gb128gb-exynos-1330-50mp-triple-camera-i123980066-s1033653515.html?search=1,4198,ACCESSORIES HUB & CARE,variant: 14,Black,6GB,128GB,"Rs. 27,999",Samsung,3,2023,No,Not Specified,4000 - 4999 mAh,13,27999.0
15,SAMSUNG GALAXY A14 5,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a14-5g-6gb128gb-exynos-1330-50mp-triple-camera-i123980066-s1033653515.html?search=1,4198,ACCESSORIES HUB & CARE,variant: 15,Green,6GB,128GB,"Rs. 27,999",Samsung,3,2023,No,Not Specified,4000 - 4999 mAh,13,27999.0
16,SAMSUNG GALAXY A14 5,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a14-5g-6gb128gb-exynos-1330-50mp-triple-camera-i123980066-s1033653515.html?search=1,4198,ACCESSORIES HUB & CARE,variant: 16,Dark red,6GB,128GB,"Rs. 27,999",Samsung,3,2023,No,Not Specified,4000 - 4999 mAh,13,27999.0
17,OnePlus Nord N20 SE,0.0,0.0,https://www.daraz.com.np/products/oneplus-nord-n20-se-4gb64gb-mediatek-mt6765g-helio-g35-5000mah-battery-i120076726-s1032812510.html?search=1,12944,Electronics Planet,variant: 17,Multicolor,4GB,64GB,"Rs. 20,800",OnePlus,2,2021,Not Specified,Not Specified,Not Specified,Not Specified,20800.0
18,Nokia 1,0.0,0.0,https://www.daraz.com.np/products/nokia-14-232gb-mobile-i125612060-s1034066613.html?search=1,4158,Electronics Bazaar,variant: 18,Black,2GB,32GB,"Rs. 9,000",Nokia,2,2022,No,Not Specified,4000 - 4999 mAh,8,9000.0
19,POP 6,0.0,0.0,https://www.daraz.com.np/products/pop-6-tecno-i-5000mah-large-battery-i125454706-s1034041461.html?search=1,30051,Mahalaxmi Mobiles Pvt. Ltd,variant: 19,Lime Green,2GB,32GB,"Rs. 12,490",Tecno,2,2022,No,Nano,5000 - 5999 mAh,2MP,12490.0
20,POP 6,0.0,0.0,https://www.daraz.com.np/products/pop-6-tecno-i-5000mah-large-battery-i125454706-s1034041461.html?search=1,30051,Mahalaxmi Mobiles Pvt. Ltd,variant: 20,Sea Blue,2GB,32GB,"Rs. 12,490",Tecno,2,2022,No,Nano,5000 - 5999 mAh,2MP,12490.0
21,POP 6,0.0,0.0,https://www.daraz.com.np/products/pop-6-tecno-i-5000mah-large-battery-i125454706-s1034041461.html?search=1,30051,Mahalaxmi Mobiles Pvt. Ltd,variant: 21,Sky Blue,2GB,32GB,"Rs. 12,490",Tecno,2,2022,No,Nano,5000 - 5999 mAh,2MP,12490.0
22,Nokia C1 1GB,4.0,1.0,https://www.daraz.com.np/products/nokia-c1-1gb16gb-i107429301-s1028770690.html?search=1,4158,NS Traders Suppliers,variant: 22,Blue,1GB,16GB,"Rs. 6,999",Nokia,1,2020,No,Not Specified,Not Specified,Not Specified,6999.0
23,MICROMAX CANVAS XPRE,0.0,0.0,https://www.daraz.com.np/products/micromax-canvas-xpress-4g-i115698765-s1034114049.html?search=1,24998,s.s trading,variant: 23,Black,3GB,64GB,"Rs. 9,154",Micromax,2,2016,No,Standard,2000 - 2999 mAh,2 MP,9154.0
24,Tecno,0.0,0.0,https://www.daraz.com.np/products/tecno-pova-neo-i-6000mah-big-battery-i125455211-s1034042122.html?search=1,30051,Mahalaxmi Mobiles Pvt. Ltd,variant: 24,Black,6GB,128GB,"Rs. 21,990",Tecno,2,2022,No,Nano,6000 - 6999 mAh,"8 MP, f/2.0",21990.0
25,Tecno,0.0,0.0,https://www.daraz.com.np/products/tecno-pova-neo-i-6000mah-big-battery-i125455211-s1034042122.html?search=1,30051,Mahalaxmi Mobiles Pvt. Ltd,variant: 25,Blue Grey,6GB,128GB,"Rs. 21,990",Tecno,2,2022,No,Nano,6000 - 6999 mAh,"8 MP, f/2.0",21990.0
26,Oppo A76,0.0,0.0,https://www.daraz.com.np/products/oppo-a76-6gb128gb-snp-drgn-680-6nm-90hz-refresh-rate-5000mah-battery-i113940628-s1030992482.html?search=1,12933,ARUN ELECTRONICS,variant: 26,Black,6GB,128GB,"Rs. 29,390",OPPO,3,2021,No,Nano,5000 - 5999 mAh,8,29390.0
27,Oppo A76,0.0,0.0,https://www.daraz.com.np/products/oppo-a76-6gb128gb-snp-drgn-680-6nm-90hz-refresh-rate-5000mah-battery-i113940628-s1030992482.html?search=1,12933,ARUN ELECTRONICS,variant: 27,Blue,6GB,128GB,"Rs. 29,390",OPPO,3,2021,No,Nano,5000 - 5999 mAh,8,29390.0
28,Samsung Galaxy Z Fli,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-z-flip-4-8gb256gb-19-super-amoled-display-warter-resistance-ipx8-i123759279-s1033607179.html?search=1,4198,246Impex,variant: 28,Lavender,8GB,256GB,"Rs. 144,999",Samsung,3,2022,Yes,Nano,3000 - 3999 mAh,10MP,144999.0
29,vivo Y22S,0.0,0.0,https://www.daraz.com.np/products/vivo-y22s6gb-128gb-i124609030-s1033842457.html?search=1,33353,Apex Telemart Pvt  Ltd,variant: 29,Starlit Blue,6GB,128GB,"Rs. 27,999",Vivo,3,2022,No,Not Specified,5000 - 5999 mAh,8MP,27999.0
30,vivo Y22S,0.0,0.0,https://www.daraz.com.np/products/vivo-y22s6gb-128gb-i124609030-s1033842457.html?search=1,33353,Apex Telemart Pvt  Ltd,variant: 30,Summer Cyan,6GB,128GB,"Rs. 27,999",Vivo,3,2022,No,Not Specified,5000 - 5999 mAh,8MP,27999.0
31,Samsung Galaxy S23 U,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-s23-ultra-5g-snapdragon-8-gen-2-200mp-main-camera-i124426142-s1033787257.html?search=1,4198,NS Traders Suppliers,variant: 31,Black,12GB,256GB,"Rs. 191,899",Samsung,5,2023,Yes,Nano,5000 - 5999 mAh,32MP,191899.0
32,Samsung Galaxy S23 U,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-s23-ultra-5g-snapdragon-8-gen-2-200mp-main-camera-i124426142-s1033787257.html?search=1,4198,NS Traders Suppliers,variant: 32,Green,12GB,512GB,"Rs. 209,999",Samsung,5,2023,Yes,Nano,5000 - 5999 mAh,32MP,209999.0
33,Oppo A77s,0.0,0.0,https://www.daraz.com.np/products/oppo-a77s-8gb128gb-8gb-extended-ram-50mp-ai-dual-camera-fiberglass-leather-design-33w-super-vooc-charger-i125119254-s1033974151.html?search=1,12933,246Impex,variant: 33,Orange,8GB,128GB,"Rs. 30,500",OPPO,3,2022,No,Nano,5000 - 5999 mAh,8MP,30500.0
34,Oneplus Nord CE 2 Li,0.0,0.0,https://www.daraz.com.np/products/oneplus-nord-ce-2-lite-8gb128gb-659-fhd-120hz-display-64mp-rear-camera-5000mah-battery-i125761728-s1034095203.html?search=1,12944,AR Tech Factory,variant: 34,Black,8GB,128GB,"Rs. 39,799",OnePlus,4,2022,No,Nano,5000 - 5999 mAh,16,39799.0
35,Oneplus Nord CE 2 Li,0.0,0.0,https://www.daraz.com.np/products/oneplus-nord-ce-2-lite-8gb128gb-659-fhd-120hz-display-64mp-rear-camera-5000mah-battery-i125761728-s1034095203.html?search=1,12944,AR Tech Factory,variant: 35,Blue,8GB,128GB,"Rs. 39,799",OnePlus,4,2022,No,Nano,5000 - 5999 mAh,16,39799.0
36,Honor 50 Lite 8GB Ra,0.0,0.0,https://www.daraz.com.np/products/honor-50-lite-8gb-ram-128gb-rom-64mp-8mp-2mp-2mp-rear-camera-16mp-front-camera-i123801210-s1033611374.html?search=1,72341,Rojeko Mart,variant: 36,Black,8GB,128GB,"Rs. 27,500",Honor,6,2022,Not Specified,Not Specified,4000 - 4999 mAh,16mp,27500.0
37,Samsung F22,0.0,0.0,https://www.daraz.com.np/products/samsung-f22-6gb128gb-i126230384-s1034167231.html?search=1,4198,Shree Communications,variant: 37,Denim Black,6GB,128GB,"Rs. 24,499",Samsung,5,2022,No,Not Specified,6000 - 6999 mAh,13,24499.0
38,Lava Benco V70,0.0,0.0,https://www.daraz.com.np/products/lava-benco-v70-2gb32gb-big-display-65-battery-5000mah-i126009503-s1034144285.html?search=1,36368,New pathibhara impex,variant: 38,Cyan Blue,2GB,32GB,"Rs. 9,999",Lava,Not Specified,2023,No,Not Specified,5000 - 5999 mAh,8,9999.0
39,Blue Samsung Galaxy ,0.0,0.0,https://www.daraz.com.np/products/blue-samsung-galaxy-m33-6gb128gb-ii-66-tft-lcd-120hz-ii-battery-5000-mah-i124915598-s1033930267.html?search=1,4198,Galaxy Mobile,variant: 39,Blue,Other,128GB,"Rs. 34,000",Samsung,5,2023,No,Not Specified,Not Specified,Not Specified,34000.0
40,OPPO F21 PRO,0.0,0.0,https://www.daraz.com.np/products/oppo-f21-pro-8gb128gb-on-display-finger-print-64mp-camera-33w-super-vooc-4500mah-battery-i118202578-s1032399083.html?search=1,12933,ARUN ELECTRONICS,variant: 40,Sunset Orange,8GB,128GB,"Rs. 42,139",OPPO,3,2022,No,Nano,4000 - 4999 mAh,32,42139.0
41,OPPO F21 PRO,0.0,0.0,https://www.daraz.com.np/products/oppo-f21-pro-8gb128gb-on-display-finger-print-64mp-camera-33w-super-vooc-4500mah-battery-i118202578-s1032399083.html?search=1,12933,ARUN ELECTRONICS,variant: 41,Cosmic Black,8GB,128GB,"Rs. 42,139",OPPO,3,2022,No,Nano,4000 - 4999 mAh,32,42139.0
42,Apple iPhone 14 128G,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-128gb-i122764923-s1033376467.html?search=1,4178,ARUN ELECTRONICS,variant: 42,BLUE,6GB,128GB,"Rs. 138,990",Apple,3,2022,Yes,Nano,3000 - 3999 mAh,12,138990.0
43,Apple iPhone 14 128G,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-128gb-i122764923-s1033376467.html?search=1,4178,ARUN ELECTRONICS,variant: 43,RED,6GB,128GB,"Rs. 138,990",Apple,3,2022,Yes,Nano,3000 - 3999 mAh,12,138990.0
44,Apple iPhone 14 128G,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-128gb-i122764923-s1033376467.html?search=1,4178,ARUN ELECTRONICS,variant: 44,PURPLE,6GB,128GB,"Rs. 138,990",Apple,3,2022,Yes,Nano,3000 - 3999 mAh,12,138990.0
45,Samsung Galaxy A04,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a04-3gb32gb-50mp-rear-camera-65-hd-display-5000mah-battery-i125590696-s1034059783.html?search=1,4198,AR Tech Factory,variant: 45,Black,3GB,32GB,"Rs. 13,999",Samsung,3,2022,No,Nano,5000 - 5999 mAh,5,13999.0
46,Samsung Galaxy A04,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a04-3gb32gb-50mp-rear-camera-65-hd-display-5000mah-battery-i125590696-s1034059783.html?search=1,4198,AR Tech Factory,variant: 46,Green,3GB,32GB,"Rs. 13,999",Samsung,3,2022,No,Nano,5000 - 5999 mAh,5,13999.0
47,Samsung Galaxy A04,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a04-3gb32gb-50mp-rear-camera-65-hd-display-5000mah-battery-i125590696-s1034059783.html?search=1,4198,AR Tech Factory,variant: 47,Red,3GB,32GB,"Rs. 13,999",Samsung,3,2022,No,Nano,5000 - 5999 mAh,5,13999.0
48,Samsung Galaxy M11 R,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-m11-rear-triple-camera-13mp5mp2mp-selfie-8mp-i104136453-s1024960835.html?search=1,4198,Anzal Mobile House,variant: 48,Black,3GB,32GB,"Rs. 18,999",Samsung,4,2020,No,Not Specified,Not Specified,Not Specified,18999.0
49,Samsung Galaxy M11 R,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-m11-rear-triple-camera-13mp5mp2mp-selfie-8mp-i104136453-s1024960835.html?search=1,4198,Anzal Mobile House,variant: 49,Blue,3GB,32GB,"Rs. 18,999",Samsung,4,2020,No,Not Specified,Not Specified,Not Specified,18999.0
50,Oppo F21 Pro,0.0,0.0,https://www.daraz.com.np/products/oppo-f21-pro-8gb128gb-32mp-selfie-camera-64mp2mp2mp-main-camera-qualcomm-sm6225-snapdragon-680-chipset-amoled-90hz-display-i125118397-s1034068848.html?search=1,12933,246Impex,variant: 50,Orange,8GB,128GB,"Rs. 39,999",OPPO,4,2022,No,Nano,4000 - 4999 mAh,32MP,39999.0
51,Oppo F21 Pro,0.0,0.0,https://www.daraz.com.np/products/oppo-f21-pro-8gb128gb-32mp-selfie-camera-64mp2mp2mp-main-camera-qualcomm-sm6225-snapdragon-680-chipset-amoled-90hz-display-i125118397-s1034068848.html?search=1,12933,246Impex,variant: 51,Black,8GB,128GB,"Rs. 39,999",OPPO,4,2022,No,Nano,4000 - 4999 mAh,32MP,39999.0
52,Samsung Galaxy M21,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-m21-6gb-ram-128gb-rom-64mp-triple-camera-i104130508-s1024966823.html?search=1,4198,Anzal Mobile House,variant: 52,Blue,6GB,128GB,"Rs. 27,499",Samsung,4,2020,No,Not Specified,6000 - 6999 mAh,Not Specified,27499.0
53,Samsung Galaxy A54 5,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a54-5g-8gb256b-64-samoled-120hz-display-50mp-camera-with-ois-5000mah-battery-i125921979-s1034117973.html?search=1,4198,AR Tech Factory,variant: 53,Black,8GB,256GB,"Rs. 59,499",Samsung,4,2023,No,Nano,5000 - 5999 mAh,32,59499.0
54,Samsung Galaxy A54 5,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a54-5g-8gb256b-64-samoled-120hz-display-50mp-camera-with-ois-5000mah-battery-i125921979-s1034117973.html?search=1,4198,AR Tech Factory,variant: 54,Violet,8GB,256GB,"Rs. 59,499",Samsung,4,2023,No,Nano,5000 - 5999 mAh,32,59499.0
55,Samsung Galaxy A54 5,0.0,0.0,https://www.daraz.com.np/products/samsung-galaxy-a54-5g-8gb256b-64-samoled-120hz-display-50mp-camera-with-ois-5000mah-battery-i125921979-s1034117973.html?search=1,4198,AR Tech Factory,variant: 55,Green,8GB,256GB,"Rs. 59,499",Samsung,4,2023,No,Nano,5000 - 5999 mAh,32,59499.0
56,Itel Vision 3 3GB RA,0.0,0.0,https://www.daraz.com.np/products/itel-vision-3-3gb-ram64gb-rom-5000mah-battery-18w-fast-charging-i124908738-s1033933090.html?search=1,186606,Galaxy Mobile,variant: 56,Blue,Other,64GB,"Rs. 13,500",Itel,1,2022,No,Not Specified,Not Specified,Not Specified,13500.0
57,Oppo A17k  3GB RAM 6,0.0,0.0,https://www.daraz.com.np/products/oppo-a17k-3gb-ram-64gb-rom-side-fingerprint-unluck-5000-mah-battery-i123185329-s1033472250.html?search=1,12933,NS Traders Suppliers,variant: 57,Blue,3GB,64GB,"Rs. 14,990",OPPO,2,2023,No,Not Specified,5000 - 5999 mAh,5mp,14990.0
58,ZTE Blade A52 4,0.0,0.0,https://www.daraz.com.np/products/zte-blade-a52-464-gb-crystal-blue-dual-4g-sim-i118728657-s1032530268.html?search=1,12968,Annapurna IT,variant: 58,crystal blue,4GB,64GB,"Rs. 16,900",ZTE,4,2022,No,Not Specified,5000 - 5999 mAh,5,16900.0
59,Infinix Hot 10 Play ,0.0,0.0,https://www.daraz.com.np/products/infinix-hot-10-play-mobile-4gb-ram-64-gb-rom-i123907594-s1033622716.html?search=1,39704,Santosh  Electronics,variant: 59,Light blue,4GB,64GB,"Rs. 17,000",No Brand,2,2022,No,Not Specified,5000 - 5999 mAh,8,17000.0
60,Oneplus Nord N20 SE,0.0,0.0,https://www.daraz.com.np/products/oneplus-nord-n20-se-4gb64gb-50mp-rear-camera-656-hd-display-33w-fast-charging-i125708863-s1034084291.html?search=1,12944,AR Tech Factory,variant: 60,Black,4GB,64GB,"Rs. 22,799",OnePlus,3,2022,No,Nano,5000 - 5999 mAh,8,22799.0
61,Oneplus Nord N20 SE,0.0,0.0,https://www.daraz.com.np/products/oneplus-nord-n20-se-4gb64gb-50mp-rear-camera-656-hd-display-33w-fast-charging-i125708863-s1034084291.html?search=1,12944,AR Tech Factory,variant: 61,Blue,4GB,64GB,"Rs. 22,799",OnePlus,3,2022,No,Nano,5000 - 5999 mAh,8,22799.0
62,Apple iPhone 14,0.0,0.0,https://www.daraz.com.np/products/apple-iphone-14-128gb-isure-i122704323-s1033385506.html?search=1,4178,iSure.,variant: 62,Purple,6GB,128GB,"Rs. 138,990",Apple,3,2022,Yes,Not Specified,3000 - 3999 mAh,12MP,138990.0
63,Tecno Spark 7T 4GB R,0.0,0.0,https://www.daraz.com.np/products/tecno-spark-7t-4gb-ram-128gb-rom-6000mah-battery-48mp-dual-back-camera-i119475980-s1032705326.html?search=1,63029,Newage Gadgets And Electronic,variant: 63,Black,4GB,128GB,"Rs. 17,990",Technos,3,2022,No,Not Specified,6000 - 6999 mAh,8,17990.0
64,Micromax in 2b,0.0,0.0,https://www.daraz.com.np/products/micromax-in-2b6gb-ram64gb-rom-i119162054-s1032624528.html?search=1,24998,Bharat Trade Pvt. Ltd.,variant: 64,Black,6GB,64GB,"Rs. 17,990",Micromax,2,2021,No,Nano,5000 - 5999 mAh,5,17990.0
65,Micromax in 2b,0.0,0.0,https://www.daraz.com.np/products/micromax-in-2b6gb-ram64gb-rom-i119162054-s1032624528.html?search=1,24998,Bharat Trade Pvt. Ltd.,variant: 65,Blue,6GB,64GB,"Rs. 17,990",Micromax,2,2021,No,Nano,5000 - 5999 mAh,5,17990.0
66,OnePlus Nord CE 2 5G,4.0,2.0,https://www.daraz.com.np/products/oneplus-nord-ce-2-5g-8gb128gb-ii-643-amoled-display-ii-65w-warp-charge-ii-1-year-screen-breakage-insurance-i112788298-s1030556610.html?search=1,12944,246Impex,variant: 66,Gray Mirror,8GB,128GB,"Rs. 48,999",OnePlus,4,2022,No,Nano,4000 - 4999 mAh,"16 MP, f/2.4, 27mm (wide), 1.0µm",48999.0
67,OnePlus Nord CE 2 5G,4.0,2.0,https://www.daraz.com.np/products/oneplus-nord-ce-2-5g-8gb128gb-ii-643-amoled-display-ii-65w-warp-charge-ii-1-year-screen-breakage-insurance-i112788298-s1030556610.html?search=1,12944,246Impex,variant: 67,Bahama Blue,8GB,128GB,"Rs. 48,999",OnePlus,4,2022,No,Nano,4000 - 4999 mAh,"16 MP, f/2.4, 27mm (wide), 1.0µm",48999.0
68,HONOR X5,0.0,0.0,https://www.daraz.com.np/products/honor-x5-2gb-ram-32gb-storage-5000mah-large-battery-65-honor-full-view-display-i124520573-s1034014528.html?search=1,72341,HONOR Nepal,variant: 68,Black,2GB,32GB,"Rs. 11,990",Honor,1,2022,No,Not Specified,5000 - 5999 mAh,5MP,11990.0
